zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
诊断,diagnosis,Diagnosis,Diagnosis,Diagnosis,0.999999936,0.999999936,0.999999936
诊断学,diagnostics,Diagnostics,Diagnostics,Diagnostic,1.000000007,1.000000007,0.807962228
物理诊断,physical diagnosis,Physical diagnosis,Physical diagnosis,Physical diagnosis,0.999999976,0.999999976,0.999999976
检体诊断,physical diagnosis,Medically-diagnosed,Probe diagnosis,Inspectoral diagnosis,0.619857624,0.703517159,0.86283308
临床诊断,clinical diagnosis,Clinical diagnosis,Clinical diagnosis,Clinical diagnosis,1.000000038,1.000000038,1.000000038
病因诊断,etiological diagnosis,Diagnosis of causes,Pathogenic diagnosis,Diagnosis of disease.,0.661050132,0.838425479,0.652986863
病理解剖诊断,pathological diagnosis,Diagnoses of pathological anatomy,Understanding anatomy and diagnosis,Understand the diagnosis.,0.882560613,0.747413274,0.64958991
病理生理诊断,pathophysiologic diagnosis,Diagnosis of pathology and physiology,Pathophysiological diagnosis,Physiological Diagnosis,0.77151506,0.999999936,0.853690814
功能诊断,functional diagnosis,Functional diagnosis,Functional diagnosis,Functional diagnosis,1.000000026,1.000000026,1.000000026
初步诊断,primary diagnosis,Preliminary diagnosis,Initial diagnosis,Initial diagnosis,0.820704713,0.87246858,0.87246858
修正诊断,diagnosis correcting,Revision of diagnostics,Correctional diagnosis,correction of diagnosis.,0.591810061,0.686753231,0.803052171
症状诊断,symptomatic diagnosis,Symptoms diagnosis,Symptom diagnosis,Diagnosis of symptoms,0.902211579,0.902348318,0.859298135
计量诊断,quantitative diagnosis,Measuring diagnostics,Measurement diagnosis,Measurement diagnosis,0.659391873,0.862098672,0.862098672
多轴诊断,multiaxis diagnosis,Multiple Axis Diagnosis,Multiaxial diagnosis,Multi-axis diagnosis,0.729744213,0.999999936,0.634788114
定位诊断,localization diagnosis,Positioning diagnostics,Positional diagnosis,Location diagnosis,0.600327253,0.755155334,0.734920534
